Frequency (Hz)	Level (dB)
1512.707520	-100.557640
1518.090820	-102.783501
1523.474121	-104.502403
1528.857422	-106.544754
1534.240723	-107.819885
1539.624023	-109.474655
1545.007324	-110.680847
1550.390625	-111.682777
1555.773926	-113.058769
1561.157227	-113.090195
1566.540527	-113.979309
1571.923828	-113.757172
1577.307129	-113.363495
1582.690430	-112.609375
1588.073730	-111.581062
1593.457031	-109.854721
1598.840332	-107.961426
1604.223633	-105.731033
1609.606934	-102.973969
1614.990234	-99.885284
1620.373535	-96.292450
1625.756836	-92.026634
1631.140137	-86.893005
1636.523438	-80.382896
1641.906738	-71.500763
1647.290039	-56.844894
1652.673340	-38.370335
1658.056641	-36.267189
1663.439941	-46.911465
1668.823242	-67.255035
1674.206543	-77.567726
1679.589844	-84.766190
1684.973145	-90.382332
1690.356445	-94.993652
1695.739746	-98.900803
1701.123047	-102.195992
1706.506348	-105.204933
1711.889648	-107.997269
1717.272949	-110.567024
1722.656250	-112.420723
1728.039551	-114.617264
1733.422852	-116.687622
1738.806152	-118.217926
1744.189453	-120.707298
1749.572754	-120.739456
1754.956055	-123.772774
1760.339355	-123.429878
1765.722656	-127.041252
1771.105957	-125.857590
1776.489258	-127.762825
1781.872559	-127.690666
1787.255859	-127.991127
1792.639160	-128.152832
1798.022461	-125.314857
1803.405762	-124.705742
1808.789062	-121.602180
1814.172363	-119.399483
1819.555664	-116.669495
1824.938965	-112.598961
1830.322266	-108.659737
1835.705566	-104.035942
1841.088867	-98.135803
1846.472168	-90.477570
1851.855469	-79.274727
1857.238770	-52.294579
1862.622070	-44.366192
1868.005371	-48.606869
1873.388672	-74.738342
1878.771973	-87.769127
1884.155273	-96.122932
1889.538574	-102.301895
1894.921875	-107.202271
1900.305176	-111.695930
1905.688477	-114.668694
1911.071777	-117.872658
1916.455078	-121.237244
1921.838379	-122.733093
1927.221680	-125.278252
1932.604980	-125.891487
1937.988281	-130.637589
1943.371582	-129.585541
1948.754883	-130.622116
1954.138184	-131.478149
1959.521484	-133.524933
1964.904785	-131.096161
1970.288086	-133.106247
1975.671387	-129.658432
1981.054688	-131.106064
1986.437988	-128.278824
1991.821289	-128.302048
1997.204590	-126.574051
2002.587891	-123.356476
2007.971191	-122.213181
2013.354492	-120.384521
2018.737793	-117.101707
2024.121094	-114.444328
2029.504395	-111.155754
2034.887695	-107.664177
2040.270996	-103.240654
2045.654297	-97.977394
2051.037598	-91.310661
2056.420898	-82.159073
2061.804199	-66.604256
2067.187500	-50.329330
2072.570801	-49.158798
2077.954102	-61.178883
2083.337402	-79.792526
2088.720703	-89.749039
2094.104004	-96.780624
2099.487305	-102.329514
2104.870605	-106.755226
2110.253906	-110.806023
2115.637207	-113.907166
2121.020508	-116.961578
2126.403809	-119.870430
2131.787109	-121.999130
2137.170410	-124.383324
2142.553711	-125.980179
2147.937012	-129.408981
2153.320312	-129.278442
2158.703613	-133.345932
2164.086914	-130.899734
2169.470215	-135.982727
2174.853516	-135.758484
2180.236816	-136.278046
2185.620117	-143.983215
2191.003418	-139.161621
2196.386719	-145.288712
2201.770020	-141.919983
2207.153320	-154.922989
2212.536621	-136.588974
2217.919922	-138.512985
2223.303223	-136.335052
2228.686523	-131.042236
2234.069824	-128.403931
2239.453125	-124.749207
2244.836426	-119.936333
2250.219727	-115.470795
2255.603027	-109.159157
2260.986328	-101.457039
2266.369629	-89.652184
2271.752930	-55.628117
2277.136230	-48.800579
2282.519531	-54.036243
2287.902832	-87.634865
2293.286133	-100.111885
2298.669434	-107.981361
2304.052734	-114.197052
